Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1991,Cal Ripken,Orioles,162,717,34,99,114,6,7.40%,6.40%,0.243,0.304,0.323,0.374,0.566,0.405,154,0.8,46.9,31.8,10.6,1010978
2002,Alex Rodriguez,Rangers,162,725,57,125,142,9,12.00%,16.80%,0.324,0.29,0.3,0.392,0.623,0.424,158,4.7,56.1,19.6,10,1274
2000,Alex Rodriguez,Mariners,148,672,41,134,132,15,14.90%,18.00%,0.291,0.333,0.316,0.42,0.606,0.431,158,1.3,54.4,22.6,9.5,1274
1996,Alex Rodriguez,Mariners,146,677,36,141,123,15,8.70%,15.40%,0.273,0.382,0.358,0.414,0.631,0.443,159,1,56,15.8,9.2,1274
2003,Alex Rodriguez,Rangers,161,715,47,124,118,17,12.20%,17.60%,0.301,0.305,0.298,0.396,0.6,0.416,151,4.3,50.3,18.2,9.2,1274
1995,John Valentin,Red Sox,135,621,27,108,102,20,13.00%,10.80%,0.235,0.296,0.298,0.399,0.533,0.405,138,1.6,32.6,30.4,8.2,1375
1998,Alex Rodriguez,Mariners,161,748,42,123,124,46,6.00%,16.20%,0.249,0.324,0.31,0.36,0.56,0.394,135,3.6,37.8,16.5,7.9,1274
2001,Alex Rodriguez,Rangers,162,732,52,133,135,18,10.20%,17.90%,0.304,0.325,0.318,0.399,0.622,0.425,159,2.3,56.6,-1.9,7.8,1274
1987,Alan Trammell,Tigers,151,668,28,109,105,21,9.00%,7.00%,0.208,0.335,0.343,0.402,0.551,0.407,152,3,47,8,7.7,1013157
2000,Nomar Garciaparra,Red Sox,140,599,21,104,96,5,10.20%,8.30%,0.227,0.378,0.372,0.434,0.599,0.432,154,0.2,44.4,15,7.6,190
2008,Hanley Ramirez,Marlins,153,693,33,125,67,35,13.30%,17.60%,0.239,0.329,0.301,0.4,0.54,0.403,144,6.3,44.8,7.6,7.5,8001
2016,Corey Seager,Dodgers,157,687,26,105,72,3,7.90%,19.40%,0.204,0.355,0.308,0.365,0.512,0.372,136,2.6,33.2,17.5,7.4,13624
1999,Derek Jeter,Yankees,158,739,24,134,102,19,12.30%,15.70%,0.203,0.396,0.349,0.438,0.552,0.428,156,0.2,55.9,-2.4,7.4,826
1998,Nomar Garciaparra,Red Sox,143,652,35,111,122,12,5.10%,9.50%,0.262,0.311,0.323,0.362,0.584,0.402,139,-0.2,32.6,18.7,7.3,190
2001,Rich Aurilia,Giants,156,689,37,114,97,1,6.80%,12.00%,0.248,0.326,0.324,0.369,0.572,0.397,144,-1.1,38.5,11.8,7.1,1106
2009,Hanley Ramirez,Marlins,151,652,24,101,106,27,9.40%,15.50%,0.201,0.379,0.342,0.41,0.543,0.407,149,5.1,44,6.2,7.1,8001
1986,Cal Ripken,Orioles,162,707,25,98,81,4,9.90%,8.50%,0.179,0.277,0.282,0.355,0.461,0.359,123,0,19.3,24.9,6.9,1010978
1996,Barry Larkin,Reds,152,627,33,117,89,36,15.30%,8.30%,0.269,0.276,0.298,0.41,0.567,0.417,157,2.5,47.5,5.7,6.8,335
1989,Ozzie Smith,Cardinals,155,664,2,82,50,29,8.30%,5.60%,0.088,0.287,0.273,0.335,0.361,0.317,102,2.8,4.1,40.2,6.7,1012186
2009,Derek Jeter,Yankees,153,716,18,107,66,30,10.10%,12.60%,0.131,0.368,0.334,0.406,0.465,0.385,130,2.5,29.6,12.2,6.6,826
2016,Manny Machado,Orioles,157,696,37,105,96,0,6.90%,17.20%,0.239,0.309,0.294,0.343,0.533,0.366,130,-0.4,24.7,15.9,6.6,11493
1993,Jay Bell,Pirates,154,701,9,102,51,16,11.00%,17.40%,0.127,0.376,0.31,0.392,0.437,0.371,125,-0.8,21.3,19.3,6.6,48
2007,Jimmy Rollins,Phillies,162,778,30,139,94,41,6.30%,10.90%,0.235,0.3,0.296,0.344,0.531,0.371,119,11.8,30.6,10,6.5,971
1997,Nomar Garciaparra,Red Sox,153,734,30,122,98,22,4.80%,12.50%,0.228,0.315,0.306,0.342,0.534,0.374,122,0.6,20.9,18.3,6.4,190
1988,Barry Larkin,Reds,151,652,12,91,56,40,6.30%,3.70%,0.133,0.291,0.296,0.347,0.429,0.347,122,4.8,20.2,18.9,6.3,335
2003,Edgar Renteria,Cardinals,157,663,13,96,100,34,9.80%,8.10%,0.15,0.343,0.33,0.394,0.48,0.375,128,5.9,30,12.3,6.3,1178
1999,Nomar Garciaparra,Red Sox,135,595,27,103,104,14,8.60%,6.60%,0.246,0.347,0.357,0.418,0.603,0.434,157,1.5,46.5,0.2,6.3,190
1987,Ozzie Smith,Cardinals,158,706,0,104,75,43,12.60%,5.10%,0.08,0.32,0.303,0.392,0.383,0.35,114,4.4,16.5,22.4,6.3,1012186
2016,Francisco Lindor,Indians,158,684,15,99,78,19,8.30%,12.90%,0.134,0.324,0.301,0.358,0.435,0.34,111,1,10.2,27.7,6.2,12916
1990,Cal Ripken,Orioles,161,695,21,78,84,3,11.80%,9.50%,0.165,0.248,0.25,0.341,0.415,0.333,109,-0.1,7.4,30.7,6.2,1010978
1998,Derek Jeter,Yankees,149,694,19,127,84,30,8.20%,17.10%,0.157,0.375,0.324,0.384,0.481,0.379,128,3.4,29,10.1,6.2,826
1990,Alan Trammell,Tigers,146,637,14,71,89,12,10.70%,8.60%,0.145,0.315,0.304,0.377,0.449,0.368,131,-1.8,20.8,18.2,6.2,1013157
2006,Derek Jeter,Yankees,154,715,14,118,97,34,9.70%,14.30%,0.14,0.391,0.343,0.417,0.483,0.392,138,5.2,39.9,-1.2,6.1,826
1991,Barry Larkin,Reds,123,527,20,88,69,24,10.40%,12.10%,0.205,0.314,0.302,0.378,0.506,0.393,148,2.4,31.2,9.4,6,335
2004,Miguel Tejada,Orioles,162,725,34,107,150,4,6.60%,10.10%,0.224,0.302,0.311,0.36,0.534,0.376,129,-2.3,24.8,12.2,6,941
1999,Omar Vizquel,Indians,144,664,5,112,66,42,9.80%,7.50%,0.103,0.354,0.333,0.397,0.436,0.372,115,4.3,18,21.5,6,411
